Date,Province,Role,Temperature_C,Rainfall_mm,Humidity_Percent,Soil_Moisture
2/4/2021,PathumThani_Hub,Market_Consumer,31.12,0,65.17,0.27
3/4/2021,PathumThani_Hub,Market_Consumer,31.19,2.8,68.67,0.27
4/4/2021,PathumThani_Hub,Market_Consumer,28.22,11.2,82.5,0.42
5/4/2021,PathumThani_Hub,Market_Consumer,26.58,6.1,86.71,0.47
6/4/2021,PathumThani_Hub,Market_Consumer,26.63,20.2,89.08,0.47
7/4/2021,PathumThani_Hub,Market_Consumer,26.94,3.8,86.58,0.46
8/4/2021,PathumThani_Hub,Market_Consumer,27.85,8,81.88,0.43
9/4/2021,PathumThani_Hub,Market_Consumer,28.59,1.6,80.25,0.4
10/4/2021,PathumThani_Hub,Market_Consumer,27.66,9,86.25,0.42
11/4/2021,PathumThani_Hub,Market_Consumer,27.55,5.3,86.5,0.47
12/4/2021,PathumThani_Hub,Market_Consumer,27.86,6.9,84.62,0.47
13/4/2021,PathumThani_Hub,Market_Consumer,27.89,5,83.83,0.45
14/4/2021,PathumThani_Hub,Market_Consumer,28.04,3.8,82.42,0.47
15/4/2021,PathumThani_Hub,Market_Consumer,28.37,0,80.62,0.45
16/4/2021,PathumThani_Hub,Market_Consumer,28.81,8.4,80.5,0.43
17/4/2021,PathumThani_Hub,Market_Consumer,28.27,1.8,80.04,0.4
18/4/2021,PathumThani_Hub,Market_Consumer,28.1,18.7,81.38,0.41
19/4/2021,PathumThani_Hub,Market_Consumer,27.53,10.2,83.46,0.48
20/4/2021,PathumThani_Hub,Market_Consumer,27.72,5.4,83.42,0.47
21/4/2021,PathumThani_Hub,Market_Consumer,28.68,4.7,81.17,0.44
22/4/2021,PathumThani_Hub,Market_Consumer,29.14,1.1,77.17,0.42
23/4/2021,PathumThani_Hub,Market_Consumer,29.73,5.2,76,0.39
24/4/2021,PathumThani_Hub,Market_Consumer,29.45,1.2,76.33,0.37
25/4/2021,PathumThani_Hub,Market_Consumer,29.15,3.6,77.17,0.37
26/4/2021,PathumThani_Hub,Market_Consumer,28.3,11.9,82.12,0.43
27/4/2021,PathumThani_Hub,Market_Consumer,27.1,8.4,87.67,0.48
28/4/2021,PathumThani_Hub,Market_Consumer,27.14,14.5,86.25,0.49
29/4/2021,PathumThani_Hub,Market_Consumer,26.15,29.3,89.04,0.5
30/4/2021,PathumThani_Hub,Market_Consumer,26.6,13.3,87,0.5
1/5/2021,PathumThani_Hub,Market_Consumer,26.99,3.5,86.04,0.47
2/5/2021,PathumThani_Hub,Market_Consumer,27.82,3.9,85.75,0.44
3/5/2021,PathumThani_Hub,Market_Consumer,28.6,1,82.17,0.42
4/5/2021,PathumThani_Hub,Market_Consumer,29.14,10.9,80.92,0.41
5/5/2021,PathumThani_Hub,Market_Consumer,29.87,0,77.58,0.42
6/5/2021,PathumThani_Hub,Market_Consumer,26.62,29.5,86.42,0.47
7/5/2021,PathumThani_Hub,Market_Consumer,27.4,1.9,84.46,0.46
8/5/2021,PathumThani_Hub,Market_Consumer,28.1,8.5,83.46,0.44
9/5/2021,PathumThani_Hub,Market_Consumer,28.5,0.2,82.25,0.42
10/5/2021,PathumThani_Hub,Market_Consumer,29.68,1.1,76.92,0.39
11/5/2021,PathumThani_Hub,Market_Consumer,29.91,2.4,76.25,0.38
12/5/2021,PathumThani_Hub,Market_Consumer,30.01,2.9,77,0.42
13/5/2021,PathumThani_Hub,Market_Consumer,30.41,0,71.92,0.41
14/5/2021,PathumThani_Hub,Market_Consumer,30.78,0.2,70.42,0.38
15/5/2021,PathumThani_Hub,Market_Consumer,30.49,3,74.58,0.36
16/5/2021,PathumThani_Hub,Market_Consumer,29.95,2.8,76.75,0.36
17/5/2021,PathumThani_Hub,Market_Consumer,30.46,1.6,74.79,0.37
18/5/2021,PathumThani_Hub,Market_Consumer,30.47,1.2,74.71,0.35
19/5/2021,PathumThani_Hub,Market_Consumer,29.85,22,76.88,0.35
20/5/2021,PathumThani_Hub,Market_Consumer,29.52,13.4,81.17,0.38
21/5/2021,PathumThani_Hub,Market_Consumer,30.22,3,74.67,0.43
22/5/2021,PathumThani_Hub,Market_Consumer,30.08,5.8,71.88,0.39
23/5/2021,PathumThani_Hub,Market_Consumer,31.4,0,60.12,0.35
24/5/2021,PathumThani_Hub,Market_Consumer,31.5,0.3,60.92,0.32
25/5/2021,PathumThani_Hub,Market_Consumer,30.01,1.9,71.17,0.31
26/5/2021,PathumThani_Hub,Market_Consumer,29.56,0.1,69.71,0.32
27/5/2021,PathumThani_Hub,Market_Consumer,29.5,24.1,73.92,0.35
28/5/2021,PathumThani_Hub,Market_Consumer,27.17,12.9,88.46,0.47
29/5/2021,PathumThani_Hub,Market_Consumer,28.41,3.8,81.83,0.45
30/5/2021,PathumThani_Hub,Market_Consumer,29.32,2.2,76.92,0.42
31/5/2021,PathumThani_Hub,Market_Consumer,30.1,0.3,71.92,0.38
1/6/2021,PathumThani_Hub,Market_Consumer,30.91,0,68.54,0.35
2/6/2021,PathumThani_Hub,Market_Consumer,31.69,0.1,66.04,0.32
3/6/2021,PathumThani_Hub,Market_Consumer,31.78,0.1,67.71,0.3
4/6/2021,PathumThani_Hub,Market_Consumer,32.36,1.7,64.08,0.3
5/6/2021,PathumThani_Hub,Market_Consumer,31.62,1.7,63.17,0.29
6/6/2021,PathumThani_Hub,Market_Consumer,30.95,1.4,61.08,0.29
7/6/2021,PathumThani_Hub,Market_Consumer,30.58,1.4,60.62,0.29
8/6/2021,PathumThani_Hub,Market_Consumer,30.65,1,59.83,0.28
9/6/2021,PathumThani_Hub,Market_Consumer,28.28,5.7,78.79,0.36
10/6/2021,PathumThani_Hub,Market_Consumer,28.22,2,76.29,0.41
11/6/2021,PathumThani_Hub,Market_Consumer,29,2.6,71.38,0.39
12/6/2021,PathumThani_Hub,Market_Consumer,28.76,4.3,73.17,0.37
13/6/2021,PathumThani_Hub,Market_Consumer,27.56,3.9,80.71,0.39
14/6/2021,PathumThani_Hub,Market_Consumer,28.3,4.6,78.79,0.4
15/6/2021,PathumThani_Hub,Market_Consumer,27.39,2.4,80.75,0.39
16/6/2021,PathumThani_Hub,Market_Consumer,28.84,1.6,75.08,0.38
17/6/2021,PathumThani_Hub,Market_Consumer,28.8,0,72.83,0.35
18/6/2021,PathumThani_Hub,Market_Consumer,30.41,1.4,68.79,0.32
19/6/2021,PathumThani_Hub,Market_Consumer,31.18,0.4,63.67,0.3
20/6/2021,PathumThani_Hub,Market_Consumer,31.44,0.8,59.33,0.29
21/6/2021,PathumThani_Hub,Market_Consumer,31.18,1.3,60.25,0.29
22/6/2021,PathumThani_Hub,Market_Consumer,30.08,2.6,65.12,0.28
23/6/2021,PathumThani_Hub,Market_Consumer,29.95,1.1,66,0.29
24/6/2021,PathumThani_Hub,Market_Consumer,30.92,0.5,58.54,0.29
25/6/2021,PathumThani_Hub,Market_Consumer,30.32,2.9,64,0.3
26/6/2021,PathumThani_Hub,Market_Consumer,30.03,1.8,69.46,0.32
27/6/2021,PathumThani_Hub,Market_Consumer,31.04,0.8,66.71,0.3
28/6/2021,PathumThani_Hub,Market_Consumer,28.91,5.4,76.67,0.31
29/6/2021,PathumThani_Hub,Market_Consumer,29.25,7.9,78.33,0.32
30/6/2021,PathumThani_Hub,Market_Consumer,29.33,3.7,74.83,0.34
1/7/2021,PathumThani_Hub,Market_Consumer,29.77,5.8,69.71,0.37
2/7/2021,PathumThani_Hub,Market_Consumer,29.71,1.5,73.38,0.36
3/7/2021,PathumThani_Hub,Market_Consumer,30.9,0.1,64.92,0.33
4/7/2021,PathumThani_Hub,Market_Consumer,31.17,0.5,64.88,0.36
5/7/2021,PathumThani_Hub,Market_Consumer,31.1,12.4,63,0.34
6/7/2021,PathumThani_Hub,Market_Consumer,29.72,8.4,73.42,0.35
7/7/2021,PathumThani_Hub,Market_Consumer,28.66,15.3,77.62,0.36
8/7/2021,PathumThani_Hub,Market_Consumer,28.05,12.2,79.29,0.37
9/7/2021,PathumThani_Hub,Market_Consumer,27,35.4,86.25,0.48
10/7/2021,PathumThani_Hub,Market_Consumer,26.21,28.8,89.67,0.49
11/7/2021,PathumThani_Hub,Market_Consumer,26.13,16.1,90.29,0.5
12/7/2021,PathumThani_Hub,Market_Consumer,27.78,5.6,83.62,0.48
13/7/2021,PathumThani_Hub,Market_Consumer,27.97,5.3,84.38,0.47
14/7/2021,PathumThani_Hub,Market_Consumer,27.8,20,87.17,0.48
15/7/2021,PathumThani_Hub,Market_Consumer,26.75,20.3,86.54,0.5
16/7/2021,PathumThani_Hub,Market_Consumer,26.73,11.7,85.67,0.5
17/7/2021,PathumThani_Hub,Market_Consumer,27.97,5.3,82.04,0.47
18/7/2021,PathumThani_Hub,Market_Consumer,27.52,9.4,82,0.48
19/7/2021,PathumThani_Hub,Market_Consumer,26.78,4,83.08,0.48
20/7/2021,PathumThani_Hub,Market_Consumer,27.32,13.6,83.29,0.48
21/7/2021,PathumThani_Hub,Market_Consumer,27.92,1.5,80.62,0.45
22/7/2021,PathumThani_Hub,Market_Consumer,28.23,8.1,80.54,0.44
23/7/2021,PathumThani_Hub,Market_Consumer,27.68,1.9,83.92,0.47
24/7/2021,PathumThani_Hub,Market_Consumer,26.82,17.2,89.67,0.49
25/7/2021,PathumThani_Hub,Market_Consumer,26.62,6.3,88.58,0.49
26/7/2021,PathumThani_Hub,Market_Consumer,28.05,0.2,79.75,0.46
27/7/2021,PathumThani_Hub,Market_Consumer,27.92,9.2,81.42,0.45
28/7/2021,PathumThani_Hub,Market_Consumer,28.47,4.1,78.96,0.44
29/7/2021,PathumThani_Hub,Market_Consumer,28.45,1.8,79.29,0.44
30/7/2021,PathumThani_Hub,Market_Consumer,28.75,5.7,77.71,0.42
31/7/2021,PathumThani_Hub,Market_Consumer,28.96,3.2,75.12,0.42
1/8/2021,PathumThani_Hub,Market_Consumer,29.07,0.4,70.96,0.39
2/8/2021,PathumThani_Hub,Market_Consumer,29.13,0.6,70.75,0.36
3/8/2021,PathumThani_Hub,Market_Consumer,28.68,0.4,71.46,0.35
4/8/2021,PathumThani_Hub,Market_Consumer,28.23,2.8,76.83,0.35
5/8/2021,PathumThani_Hub,Market_Consumer,28.33,2.4,77.29,0.37
6/8/2021,PathumThani_Hub,Market_Consumer,28.24,3.6,78.5,0.42
7/8/2021,PathumThani_Hub,Market_Consumer,28.87,0.6,74.79,0.41
8/8/2021,PathumThani_Hub,Market_Consumer,29.54,1.9,72.62,0.38
9/8/2021,PathumThani_Hub,Market_Consumer,30.16,1.5,68.71,0.36
10/8/2021,PathumThani_Hub,Market_Consumer,30.18,9.1,70.33,0.34
11/8/2021,PathumThani_Hub,Market_Consumer,28.22,20.5,83.96,0.43
12/8/2021,PathumThani_Hub,Market_Consumer,28.09,6.1,82.21,0.45
13/8/2021,PathumThani_Hub,Market_Consumer,27.94,9.9,81.88,0.45
14/8/2021,PathumThani_Hub,Market_Consumer,27.19,9,84.67,0.48
15/8/2021,PathumThani_Hub,Market_Consumer,26.5,13.3,90.75,0.49
16/8/2021,PathumThani_Hub,Market_Consumer,26.69,10.6,84.38,0.49
17/8/2021,PathumThani_Hub,Market_Consumer,28.22,0.2,78.92,0.46
18/8/2021,PathumThani_Hub,Market_Consumer,29.43,0.1,72.25,0.43
19/8/2021,PathumThani_Hub,Market_Consumer,28.88,4.2,75.42,0.41
20/8/2021,PathumThani_Hub,Market_Consumer,28.74,4.9,80.96,0.44
21/8/2021,PathumThani_Hub,Market_Consumer,27.94,4.1,80.92,0.44
22/8/2021,PathumThani_Hub,Market_Consumer,27.83,17.2,84.5,0.47
23/8/2021,PathumThani_Hub,Market_Consumer,28.57,0.8,77.92,0.46
24/8/2021,PathumThani_Hub,Market_Consumer,28.27,16.2,79.54,0.44
25/8/2021,PathumThani_Hub,Market_Consumer,27.16,67.5,86.75,0.49
26/8/2021,PathumThani_Hub,Market_Consumer,26.51,19.9,88.71,0.5
27/8/2021,PathumThani_Hub,Market_Consumer,25.78,15.6,91.25,0.51
28/8/2021,PathumThani_Hub,Market_Consumer,26.26,8.5,88.12,0.49
29/8/2021,PathumThani_Hub,Market_Consumer,26.06,19.2,88.46,0.5
30/8/2021,PathumThani_Hub,Market_Consumer,26.95,1.4,85.67,0.48
31/8/2021,PathumThani_Hub,Market_Consumer,27.06,23.6,89,0.49
1/9/2021,PathumThani_Hub,Market_Consumer,26.61,7.7,89.38,0.5
2/9/2021,PathumThani_Hub,Market_Consumer,26.71,17.8,88.38,0.5
3/9/2021,PathumThani_Hub,Market_Consumer,26.52,15.6,87,0.5
4/9/2021,PathumThani_Hub,Market_Consumer,26.98,15.4,82.04,0.49
5/9/2021,PathumThani_Hub,Market_Consumer,26.28,6.8,87.75,0.49
6/9/2021,PathumThani_Hub,Market_Consumer,27.05,0.9,82.38,0.46
7/9/2021,PathumThani_Hub,Market_Consumer,26.49,26.4,87.5,0.49
8/9/2021,PathumThani_Hub,Market_Consumer,26.32,17,89.25,0.51
9/9/2021,PathumThani_Hub,Market_Consumer,26.04,9.2,90.5,0.51
10/9/2021,PathumThani_Hub,Market_Consumer,26.13,19.8,90.92,0.51
11/9/2021,PathumThani_Hub,Market_Consumer,26.42,12.6,89.17,0.5
12/9/2021,PathumThani_Hub,Market_Consumer,27.71,0.1,76.33,0.47
13/9/2021,PathumThani_Hub,Market_Consumer,28.44,4.2,75,0.45
14/9/2021,PathumThani_Hub,Market_Consumer,27.65,8,81,0.45
15/9/2021,PathumThani_Hub,Market_Consumer,26.38,10.3,89.67,0.5
16/9/2021,PathumThani_Hub,Market_Consumer,26.54,14.9,87.17,0.5
17/9/2021,PathumThani_Hub,Market_Consumer,27.59,0.5,81.46,0.48
18/9/2021,PathumThani_Hub,Market_Consumer,28.05,1.1,82.92,0.45
19/9/2021,PathumThani_Hub,Market_Consumer,27.49,6.3,86.17,0.48
20/9/2021,PathumThani_Hub,Market_Consumer,26.27,31.5,91.04,0.5
21/9/2021,PathumThani_Hub,Market_Consumer,25.65,41.1,90.38,0.51
22/9/2021,PathumThani_Hub,Market_Consumer,25.99,15.2,90.71,0.5
23/9/2021,PathumThani_Hub,Market_Consumer,26.6,9.2,87.33,0.51
24/9/2021,PathumThani_Hub,Market_Consumer,26.84,18.2,85.79,0.5
25/9/2021,PathumThani_Hub,Market_Consumer,25.86,29.1,90.92,0.51
26/9/2021,PathumThani_Hub,Market_Consumer,25.08,17.6,94.62,0.51
27/9/2021,PathumThani_Hub,Market_Consumer,26.32,8.2,87.58,0.5
28/9/2021,PathumThani_Hub,Market_Consumer,26.98,6.5,87.33,0.49
29/9/2021,PathumThani_Hub,Market_Consumer,28.27,1.2,84.5,0.47
30/9/2021,PathumThani_Hub,Market_Consumer,27.71,8.3,87.08,0.5
1/10/2021,PathumThani_Hub,Market_Consumer,28.54,1.1,82.92,0.48
2/10/2021,PathumThani_Hub,Market_Consumer,27.85,8.3,85.88,0.48
3/10/2021,PathumThani_Hub,Market_Consumer,27.09,13.7,88.25,0.5
4/10/2021,PathumThani_Hub,Market_Consumer,27.57,2.9,84.75,0.49
5/10/2021,PathumThani_Hub,Market_Consumer,28.21,0.5,79.12,0.46
6/10/2021,PathumThani_Hub,Market_Consumer,27.4,18.4,84.92,0.49
7/10/2021,PathumThani_Hub,Market_Consumer,27.63,5.2,82.88,0.49
8/10/2021,PathumThani_Hub,Market_Consumer,27.98,1.1,82.54,0.47
9/10/2021,PathumThani_Hub,Market_Consumer,27.53,2.5,84.17,0.46
10/10/2021,PathumThani_Hub,Market_Consumer,28.34,0.4,79.08,0.43
11/10/2021,PathumThani_Hub,Market_Consumer,27.96,12.1,84.12,0.44
12/10/2021,PathumThani_Hub,Market_Consumer,27,29.3,89.38,0.48
13/10/2021,PathumThani_Hub,Market_Consumer,26.64,4.8,88.21,0.5
14/10/2021,PathumThani_Hub,Market_Consumer,26.9,18.4,88.5,0.5
15/10/2021,PathumThani_Hub,Market_Consumer,25.73,34.2,91.62,0.51
16/10/2021,PathumThani_Hub,Market_Consumer,26.7,19.1,87.33,0.5
17/10/2021,PathumThani_Hub,Market_Consumer,23.88,48.9,93.58,0.51
18/10/2021,PathumThani_Hub,Market_Consumer,24.39,3.4,83.38,0.5
19/10/2021,PathumThani_Hub,Market_Consumer,26.31,0.7,82.96,0.48
20/10/2021,PathumThani_Hub,Market_Consumer,27.19,0.6,86.79,0.47
21/10/2021,PathumThani_Hub,Market_Consumer,27.12,0.7,86.25,0.46
22/10/2021,PathumThani_Hub,Market_Consumer,26.34,8.4,89.5,0.49
23/10/2021,PathumThani_Hub,Market_Consumer,25.91,8.1,88.08,0.5
24/10/2021,PathumThani_Hub,Market_Consumer,26.05,2.1,81.88,0.48
25/10/2021,PathumThani_Hub,Market_Consumer,26.45,1.2,79.12,0.47
26/10/2021,PathumThani_Hub,Market_Consumer,26.8,0.1,76,0.45
27/10/2021,PathumThani_Hub,Market_Consumer,26.83,0,71.46,0.43
28/10/2021,PathumThani_Hub,Market_Consumer,26.26,0.2,77.46,0.42
29/10/2021,PathumThani_Hub,Market_Consumer,27.11,1.6,80.96,0.42
30/10/2021,PathumThani_Hub,Market_Consumer,27.05,14.4,85.54,0.43
31/10/2021,PathumThani_Hub,Market_Consumer,26.81,6.1,88.08,0.47
1/11/2021,PathumThani_Hub,Market_Consumer,26.6,2.2,88.42,0.48
2/11/2021,PathumThani_Hub,Market_Consumer,26.5,14.1,88.88,0.48
3/11/2021,PathumThani_Hub,Market_Consumer,27.06,0.5,81.79,0.48
4/11/2021,PathumThani_Hub,Market_Consumer,27.48,0.1,80.33,0.46
5/11/2021,PathumThani_Hub,Market_Consumer,28.16,0.2,78.08,0.44
6/11/2021,PathumThani_Hub,Market_Consumer,27.3,6.5,84.12,0.44
7/11/2021,PathumThani_Hub,Market_Consumer,27.45,5.3,86.92,0.48
8/11/2021,PathumThani_Hub,Market_Consumer,27.25,1.4,85,0.46
9/11/2021,PathumThani_Hub,Market_Consumer,26.45,5.2,78.75,0.46
10/11/2021,PathumThani_Hub,Market_Consumer,26.24,0,71.79,0.44
11/11/2021,PathumThani_Hub,Market_Consumer,26.04,0,71.04,0.43
12/11/2021,PathumThani_Hub,Market_Consumer,26.55,0.3,75.25,0.41
13/11/2021,PathumThani_Hub,Market_Consumer,26.52,0,73.83,0.4
14/11/2021,PathumThani_Hub,Market_Consumer,25.68,0.1,76.96,0.4
15/11/2021,PathumThani_Hub,Market_Consumer,26.52,0.2,77.38,0.39
16/11/2021,PathumThani_Hub,Market_Consumer,26.56,8.9,83.79,0.4
17/11/2021,PathumThani_Hub,Market_Consumer,27.78,0,76.04,0.39
18/11/2021,PathumThani_Hub,Market_Consumer,26.92,7.5,80.92,0.41
19/11/2021,PathumThani_Hub,Market_Consumer,27.8,0,80.58,0.41
20/11/2021,PathumThani_Hub,Market_Consumer,27.88,0.1,80.46,0.39
21/11/2021,PathumThani_Hub,Market_Consumer,28.07,2.6,82.08,0.38
22/11/2021,PathumThani_Hub,Market_Consumer,28.13,3.5,80.04,0.36
23/11/2021,PathumThani_Hub,Market_Consumer,26.06,13.8,82.67,0.39
24/11/2021,PathumThani_Hub,Market_Consumer,25.37,1.8,74.12,0.39
25/11/2021,PathumThani_Hub,Market_Consumer,26.28,0,65.88,0.37
26/11/2021,PathumThani_Hub,Market_Consumer,26.37,0,64.83,0.36
27/11/2021,PathumThani_Hub,Market_Consumer,25.49,0,61.96,0.34
28/11/2021,PathumThani_Hub,Market_Consumer,25.74,0,58.75,0.33
29/11/2021,PathumThani_Hub,Market_Consumer,26.84,1.3,58.54,0.32
30/11/2021,PathumThani_Hub,Market_Consumer,24.98,3,63.12,0.32
1/12/2021,PathumThani_Hub,Market_Consumer,24.92,0,56.46,0.31
2/12/2021,PathumThani_Hub,Market_Consumer,24.85,0,58.58,0.3
3/12/2021,PathumThani_Hub,Market_Consumer,24.39,0,53.08,0.3
4/12/2021,PathumThani_Hub,Market_Consumer,22.73,0,53.71,0.3
5/12/2021,PathumThani_Hub,Market_Consumer,22.36,0,53.04,0.29
6/12/2021,PathumThani_Hub,Market_Consumer,23.59,0,55.42,0.29
7/12/2021,PathumThani_Hub,Market_Consumer,24.2,0,53,0.28
8/12/2021,PathumThani_Hub,Market_Consumer,24.08,0,51.33,0.28
9/12/2021,PathumThani_Hub,Market_Consumer,25.8,0,61.75,0.28
10/12/2021,PathumThani_Hub,Market_Consumer,26.8,0,63.96,0.28
11/12/2021,PathumThani_Hub,Market_Consumer,26.85,0,57.46,0.28
